country,Hdi2021,Hdi2020,Hdi2019
United States of America,0.921,0.923,0.933
Russian Federation,0.818,0.826,0.839
Japan,0.92,0.917,0.918
Turkiye,0.841,0.835,0.842
Germany,0.948,0.948,0.951
United Kingdom of Great Britain and Northern Ireland,0.931,0.92,0.933
France,0.906,0.9,0.905
Italy,0.899,0.892,0.899
Republic of Korea,0.926,0.922,0.922
Spain,0.904,0.894,0.904
Argentina,0.844,0.841,0.853
Poland,0.876,0.874,0.88
Canada,0.934,0.928,0.932
Saudi Arabia,0.867,0.861,0.862
Australia,0.949,0.948,0.941
Kazakhstan,0.801,0.806,0.81
Chile,0.856,0.849,0.859
Romania,0.825,0.828,0.834
Netherlands (Kingdom of the),0.941,0.938,0.941
Belgium,0.938,0.93,0.936
Sweden,0.949,0.944,0.947
Czech Republic,0.891,0.891,0.896
Greece,0.887,0.887,0.89
Portugal,0.865,0.861,0.864
Hungary,0.846,0.849,0.854
United Arab Emirates,0.931,0.93,0.933
Belarus,0.801,0.8,0.81
Israel,0.911,0.906,0.909
Austria,0.92,0.916,0.92
Switzerland,0.965,0.957,0.96
Hong Kong,0.959,0.955,0.953
Serbia,0.804,0.806,0.812
Singapore,0.942,0.942,0.945
Denmark,0.947,0.946,0.946
Slovakia,0.852,0.86,0.863
Finland,0.941,0.939,0.939
Norway,0.964,0.963,0.961
New Zealand,0.936,0.935,0.937
Costa Rica,0.804,0.811,0.811
Ireland,0.946,0.945,0.942
Oman,0.81,0.823,0.841
Panama,0.813,0.809,0.82
Kuwait,0.836,0.826,0.838
Croatia,0.867,0.86,0.866
Georgia,0.809,0.807,0.816
Uruguay,0.814,0.82,0.818
Qatar,0.864,0.863,0.869
Lithuania,0.875,0.88,0.886
Slovenia,0.916,0.91,0.918
Latvia,0.865,0.873,0.873
Trinidad and Tobago,0.804,0.815,0.813
Bahrain,0.884,0.884,0.888
Estonia,0.89,0.891,0.893
Cyprus,0.901,0.9,0.901
Luxembourg,0.927,0.921,0.925
Montenegro,0.84,0.832,0.841
Malta,0.912,0.901,0.905
Brunei,0.824,0.827,0.827
Iceland,0.957,0.955,0.958
Barbados,0.803,0.803,0.806
Antigua and Barbuda,0.819,0.82,0.831
Andorra,0.855,0.843,0.865
Saint Kitts and Nevis,0.832,0.832,0.838
Liechtenstein,0.936,0.933,0.94
San Marino,0.853,0.844,0.861
Palau,0.802,0.794,0.792
Total,0.8820303030303029,0.8801363636363635,0.8850757575757575
